page,priority,content
15,0.34210526315789475,""
15,0.34210526315789475,""
15,0.13157894736842105,""
15,0.13157894736842105,""
15,0.13157894736842105,""
15,0.13157894736842105,""
15,0.13157894736842105,""
15,0.13157894736842105,""
15,0.13157894736842105,""
15,0.9473684210526316,"STEM Expedition Summer Academy"
15,0.8157894736842105,"In 2018 and 2019, JetBlue and the JetBlue Foundation"
15,0.736842105263158,"partnered with Project Scientist to introduce STEM"
15,0.5263157894736842,"education and aviation careers to girls from traditionally"
15,0.8947368421052632,"underrepresented communities. Both the JetBlue"
15,0.5789473684210527,"Foundation and Project Scientist believe that a strong"
15,0.6578947368421052,"foundation of STEM education sets up girls for a"
15,0.7894736842105263,"successful future. Over the past two summers, the"
15,0.6842105263157895,"JetBlue Foundation hosted 60 Project Scientist girls each"
15,0.8684210526315789,"year as part of the STEM Expedition Summer Academy."
15,0.7105263157894737,"Girls ages 4-12 visited Long Beach Airport in Southern"
15,0.631578947368421,"California for a behind-the-scenes look at JetBlue’s"
15,0.8421052631578948,"operations. JetBlue pilots and other crewmembers"
15,0.763157894736842,"volunteered to provide a hands-on experience to"
15,0.5526315789473685,"demonstrate what a career in aviation looks like. In 2019,"
15,0.9210526315789473,"the STEM Expeditions Summer Academy also included a"
15,0.6052631578947368,"tour of the University of California Los Angeles campus to"
15,0.5,"provide a glimpse of what college life is like."
15,0.4736842105263158,"31"
16,0.4761904761904762,"32"
16,1.0,"J E T B L U E  S O C I A L  I M P A C T  R E P O R T. 2 0 1 8  +  2 0 1 9"
16,0.023809523809523808,""
16,0.2738095238095238,""
16,0.2738095238095238,""
16,0.38095238095238093,""
16,0.38095238095238093,""
16,0.38095238095238093,""
16,0.38095238095238093,""
16,0.38095238095238093,""
16,0.38095238095238093,""
16,0.38095238095238093,""
16,0.2380952380952381,""
16,0.13095238095238096,""
16,0.13095238095238096,""
16,0.13095238095238096,""
16,0.13095238095238096,""
16,0.13095238095238096,""
16,0.13095238095238096,""
16,0.13095238095238096,""
16,0.13095238095238096,""
16,0.880952380952381,"Even More Girls – In Tech"
16,0.6666666666666667,"In 2018, JetBlue, the JetBlue Foundation, JetBlue"
16,0.7619047619047619,"Technology Ventures and Girls in Tech collaborated"
16,0.5476190476190476,"on a special event, “Even More Girls – In Tech.” Girls"
16,0.6904761904761905,"in Tech is a nonprofit that focuses on empowering"
16,0.9523809523809524,"girls and women who are passionate about"
16,0.6190476190476191,"technology. Nearly 50 girls ages 12-15 learned"
16,0.6428571428571429,"leadership skills from JetBlue senior leaders and"
16,0.8571428571428571,"Girls in Tech CEO and Founder, Adriana Gascoigne."
16,0.7380952380952381,"The event kicked off with a Power Breakfast panel"
16,0.8095238095238095,"featuring Oscar® nominee Ava DuVernay, director of"
16,0.5714285714285715,"Disney’s epic sci-fi adventure, “A Wrinkle in Time.”"
16,0.8333333333333333,"Throughout the day, attendees were introduced to"
16,0.5238095238095238,"technical skills such as coding that are critical for"
16,0.9285714285714286,"STEM-related careers."
16,0.7857142857142857,"The Even More Girls – In Tech event helped launch"
16,0.9047619047619048,"JetBlue’s “Even More Girls” career awareness"
16,0.9761904761904762,"programming which brings girls and women"
16,0.7142857142857143,"together to showcase the range of careers available"
16,0.5952380952380952,"with JetBlue."
16,0.5,"33"
17,0.41891891891891897,""
17,0.41891891891891897,""
17,0.41891891891891897,""
17,0.41891891891891897,""
17,0.04054054054054054,""
17,0.20270270270270271,""
17,0.20270270270270271,""
17,0.20270270270270271,""
